,df,sum_sq,mean_sq,F,PR(>F)
C(Lenguaje),3.0,5468451.6127652135,1822817.2042550712,450.4315355566765,3.8900236808755876e-35
C(N),2.0,5764624.4650689745,2882312.2325344873,712.2405482149649,2.0729853049850076e-36
C(Lenguaje):C(N),6.0,7554262.834839509,1259043.805806585,311.11898299991276,1.1749538172075891e-36
Residual,48.0,194247.5579470926,4046.8241238977625,,
